date,timestamp_tdt,tdt_jd,ra_deg,dec_deg,ecliptic_lon_deg,quality_flag,cmc_object_code,source_volume,source_catalog
1986-01-21,1986-01-21T12:29:04,2446452.02019,230.8429291667,-17.6558333333,233.0026314322,,1,USNO W2J00 compatibility alias,USNO W2J00 Transit Circle Catalog (VizieR I/334 w2j00sol.dat)
1986-02-15,1986-02-15T11:51:31,2446476.99411,246.0674375000,-20.9519583333,247.7366633153,,2,USNO W2J00 compatibility alias,USNO W2J00 Transit Circle Catalog (VizieR I/334 w2j00sol.dat)
1986-02-22,1986-02-22T11:40:56,2446483.98676,250.3136500000,-21.6318555556,251.7501557998,,3,USNO W2J00 compatibility alias,USNO W2J00 Transit Circle Catalog (VizieR I/334 w2j00sol.dat)
1986-02-24,1986-02-24T11:37:52,2446485.98464,251.5217958333,-21.8065166667,252.8857670438,,4,USNO W2J00 compatibility alias,USNO W2J00 Transit Circle Catalog (VizieR I/334 w2j00sol.dat)
1986-02-25,1986-02-25T11:36:22,2446486.98359,252.1251250000,-21.8907055556,253.4519026343,,5,USNO W2J00 compatibility alias,USNO W2J00 Transit Circle Catalog (VizieR I/334 w2j00sol.dat)
1986-02-26,1986-02-26T11:34:50,2446487.98253,252.7276375000,-21.9726361111,254.0166288777,,6,USNO W2J00 compatibility alias,USNO W2J00 Transit Circle Catalog (VizieR I/334 w2j00sol.dat)
1986-02-28,1986-02-28T11:31:45,2446489.98039,253.9300333333,-22.1298861111,255.1417719042,,7,USNO W2J00 compatibility alias,USNO W2J00 Transit Circle Catalog (VizieR I/334 w2j00sol.dat)
1986-03-01,1986-03-01T11:30:14,2446490.97933,254.5301416667,-22.2055000000,255.7024589014,,8,USNO W2J00 compatibility alias,USNO W2J00 Transit Circle Catalog (VizieR I/334 w2j00sol.dat)
1986-03-05,1986-03-05T11:24:02,2446494.97503,256.9204791667,-22.4863666667,257.9302223011,,9,USNO W2J00 compatibility alias,USNO W2J00 Transit Circle Catalog (VizieR I/334 w2j00sol.dat)
1986-03-06,1986-03-06T11:22:29,2446495.97395,257.5152500000,-22.5510916667,258.4832220972,,10,USNO W2J00 compatibility alias,USNO W2J00 Transit Circle Catalog (VizieR I/334 w2j00sol.dat)
1986-03-10,1986-03-10T11:16:10,2446499.96957,259.8801333333,-22.7899416667,260.6773836701,,11,USNO W2J00 compatibility alias,USNO W2J00 Transit Circle Catalog (VizieR I/334 w2j00sol.dat)
1986-03-12,1986-03-12T11:13:00,2446501.96737,261.0534208333,-22.8970222222,261.7633669494,,12,USNO W2J00 compatibility alias,USNO W2J00 Transit Circle Catalog (VizieR I/334 w2j00sol.dat)
1986-03-15,1986-03-15T11:08:10,2446504.96401,262.8007000000,-23.0434166667,263.3777731928,,13,USNO W2J00 compatibility alias,USNO W2J00 Transit Circle Catalog (VizieR I/334 w2j00sol.dat)
1986-03-16,1986-03-16T11:06:33,2446505.96289,263.3794583333,-23.0880277778,263.9117918519,,14,USNO W2J00 compatibility alias,USNO W2J00 Transit Circle Catalog (VizieR I/334 w2j00sol.dat)
1986-03-17,1986-03-17T11:04:56,2446506.96176,263.9565500000,-23.1312305556,264.4439624756,,15,USNO W2J00 compatibility alias,USNO W2J00 Transit Circle Catalog (VizieR I/334 w2j00sol.dat)
1986-03-21,1986-03-21T10:58:19,2446510.95717,266.2442416667,-23.2848277778,266.5505241785,,16,USNO W2J00 compatibility alias,USNO W2J00 Transit Circle Catalog (VizieR I/334 w2j00sol.dat)
1986-03-22,1986-03-22T10:56:39,2446511.95601,266.8107458333,-23.3190416667,267.0714941019,,17,USNO W2J00 compatibility alias,USNO W2J00 Transit Circle Catalog (VizieR I/334 w2j00sol.dat)
1986-04-01,1986-04-01T10:39:24,2446521.94403,272.3419916667,-23.5710861111,272.1464982360,,18,USNO W2J00 compatibility alias,USNO W2J00 Transit Circle Catalog (VizieR I/334 w2j00sol.dat)
1986-04-03,1986-04-03T10:35:48,2446523.94153,273.4142333333,-23.6039444444,273.1283039275,,19,USNO W2J00 compatibility alias,USNO W2J00 Transit Circle Catalog (VizieR I/334 w2j00sol.dat)
1986-04-10,1986-04-10T10:22:49,2446530.93252,277.0585250000,-23.6813666667,276.4616556437,,20,USNO W2J00 compatibility alias,USNO W2J00 Transit Circle Catalog (VizieR I/334 w2j00sol.dat)
1986-04-19,1986-04-19T10:04:57,2446539.92011,281.4508125000,-23.7179472222,280.4729706913,,21,USNO W2J00 compatibility alias,USNO W2J00 Transit Circle Catalog (VizieR I/334 w2j00sol.dat)
