date,timestamp_tdt,tdt_jd,ra_deg,dec_deg,ecliptic_lon_deg,quality_flag,cmc_object_code,source_catalog
1986-04-19,1986-04-19T06:09:43,2446539.756753,281.3739666667,-23.7179250000,280.4028305051,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-04-20,1986-04-20T06:07:38,2446540.755312,281.8396333333,-23.7192333333,280.8277226484,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-04-22,1986-04-22T06:03:26,2446542.752392,282.7566875000,-23.7208250000,281.6642231511,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-04-23,1986-04-23T06:01:18,2446543.750911,283.2075666667,-23.7213861111,282.0753487449,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-04-24,1986-04-24T05:59:09,2446544.749414,283.6529500000,-23.7217583333,282.4813678673,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-04-25,1986-04-25T05:56:58,2446545.747903,284.0931958333,-23.7219888889,282.8826050878,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-04-26,1986-04-26T05:54:46,2446546.746377,284.5278833333,-23.7221361111,283.2786732554,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-04-27,1986-04-27T05:52:33,2446547.744835,284.9568625000,-23.7225805556,283.6693987347,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-04-28,1986-04-28T05:50:19,2446548.743278,285.3803291667,-23.7229416667,284.0549991290,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-04-29,1986-04-29T05:48:03,2446549.741702,285.7973166667,-23.7234500000,284.4345719663,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-04-30,1986-04-30T05:45:45,2446550.740110,286.2081958333,-23.7243333333,284.8084308735,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-05-04,1986-05-04T05:36:19,2446554.733561,287.7866541667,-23.7321916667,286.2430393336,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-05-05,1986-05-05T05:33:54,2446555.731876,288.1640666667,-23.7354583333,286.5856059267,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-05-06,1986-05-06T05:31:26,2446556.730171,288.5341208333,-23.7395472222,286.9212669063,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-05-07,1986-05-07T05:28:57,2446557.728446,288.8969541667,-23.7446000000,287.2501278041,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-05-08,1986-05-08T05:26:26,2446558.726699,289.2520875000,-23.7504250000,287.5717770117,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-05-09,1986-05-09T05:23:54,2446559.724931,289.5994208333,-23.7574361111,287.8860688189,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-05-10,1986-05-10T05:21:19,2446560.723141,289.9390958333,-23.7652194444,288.1931858504,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-05-11,1986-05-11T05:18:42,2446561.721329,290.2707000000,-23.7743527778,288.4926752930,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-05-15,1986-05-15T05:07:56,2446565.713850,291.5132583333,-23.8238555556,289.6115477112,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-05-16,1986-05-16T05:05:09,2446566.711919,291.8021000000,-23.8399361111,289.8706700626,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-05-28,1986-05-28T04:28:48,2446578.686669,294.5148291667,-24.1782722222,292.2669970160,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-05-31,1986-05-31T04:18:44,2446581.679684,294.9504791667,-24.3127750000,292.6366701243,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-06-01,1986-06-01T04:15:17,2446582.677290,295.0717458333,-24.3625527778,292.7373238823,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-06-02,1986-06-02T04:11:47,2446583.674861,295.1805125000,-24.4150555556,292.8261925382,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-06-03,1986-06-03T04:08:15,2446584.672397,295.2768125000,-24.4700138889,292.9033622011,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
1986-06-04,1986-06-04T04:04:39,2446585.669898,295.3603083333,-24.5275888889,292.9685139030,,99040,Carlsberg Meridian Catalog Vol.4 (CDS I/147 table2.dat)
