date,timestamp_ut1,jd_ut1,ra_deg,dec_deg,ecliptic_lon_deg,observation_seq,source_catalog
1986-01-24,1986-01-24T21:57:46,2446455.415120,232.9056791667,-18.1807222222,235.0343524118,1,Tokyo PMC88 Part III (CDS I/188 planets)
1986-01-25,1986-01-25T21:56:15,2446456.414073,233.5136625000,-18.3309500000,235.6309676309,2,Tokyo PMC88 Part III (CDS I/188 planets)
1986-01-26,1986-01-26T21:54:45,2446457.413027,234.1220291667,-18.4787916667,236.2268583969,3,Tokyo PMC88 Part III (CDS I/188 planets)
1986-01-28,1986-01-28T21:51:45,2446459.410939,235.3390708333,-18.7687750000,237.4160684313,4,Tokyo PMC88 Part III (CDS I/188 planets)
1986-02-02,1986-02-02T21:44:14,2446464.405729,238.3866541667,-19.4566777778,240.3765792613,5,Tokyo PMC88 Part III (CDS I/188 planets)
1986-02-19,1986-02-19T21:18:42,2446481.387987,248.7381000000,-21.3915750000,250.2651093093,6,Tokyo PMC88 Part III (CDS I/188 planets)
1986-03-24,1986-03-24T20:26:25,2446514.351687,268.1603500000,-23.3940277778,268.3116219689,7,Tokyo PMC88 Part III (CDS I/188 planets)
1986-03-26,1986-03-26T20:23:00,2446516.349315,269.2753958333,-23.4492861111,269.3352417621,8,Tokyo PMC88 Part III (CDS I/188 planets)
1986-04-12,1986-04-12T19:52:01,2446533.327796,278.2633208333,-23.6963222222,277.5626192847,9,Tokyo PMC88 Part III (CDS I/188 planets)
1986-04-13,1986-04-13T19:50:04,2446534.326438,278.7587958333,-23.7017083333,278.0152226519,10,Tokyo PMC88 Part III (CDS I/188 planets)
1986-05-04,1986-05-04T19:04:21,2446555.294699,288.0000000000,-23.7338500000,286.4367248398,11,Tokyo PMC88 Part III (CDS I/188 planets)
1986-05-07,1986-05-07T18:56:57,2446558.289549,289.0978125000,-23.7477083333,287.4320870789,12,Tokyo PMC88 Part III (CDS I/188 planets)
1986-05-08,1986-05-08T18:54:25,2446559.287790,289.4483791667,-23.7541861111,287.7494373509,13,Tokyo PMC88 Part III (CDS I/188 planets)
1986-05-16,1986-05-16T18:32:58,2446567.272905,291.9608541667,-23.8495555556,290.0129189407,14,Tokyo PMC88 Part III (CDS I/188 planets)
1986-05-17,1986-05-17T18:30:08,2446568.270936,292.2355458333,-23.8681777778,290.2586581045,15,Tokyo PMC88 Part III (CDS I/188 planets)
1986-06-26,1986-06-26T15:58:51,2446608.165877,293.7373458333,-26.4322166667,291.2040644728,16,Tokyo PMC88 Part III (CDS I/188 planets)
1986-07-24,1986-07-24T13:36:25,2446636.066959,285.6271625000,-28.5822638889,283.7567826645,17,Tokyo PMC88 Part III (CDS I/188 planets)
1986-07-27,1986-07-27T13:21:41,2446639.056732,284.8924666667,-28.6601750000,283.1037989578,18,Tokyo PMC88 Part III (CDS I/188 planets)
1986-07-28,1986-07-28T13:16:52,2446640.053383,284.6690708333,-28.6784138889,282.9059068645,19,Tokyo PMC88 Part III (CDS I/188 planets)
1986-07-29,1986-07-29T13:12:05,2446641.050067,284.4573916667,-28.6931694444,282.7186770847,20,Tokyo PMC88 Part III (CDS I/188 planets)
1986-07-31,1986-07-31T13:02:41,2446643.043536,284.0713333333,-28.7113555556,282.3781187168,21,Tokyo PMC88 Part III (CDS I/188 planets)
1986-08-01,1986-08-01T12:58:04,2446644.040326,283.8999458333,-28.7148694444,282.2273800209,22,Tokyo PMC88 Part III (CDS I/188 planets)
1986-08-02,1986-08-02T12:53:30,2446645.037153,283.7383500000,-28.7153888889,282.0855155529,23,Tokyo PMC88 Part III (CDS I/188 planets)
1986-08-05,1986-08-05T12:40:08,2446648.027871,283.3449625000,-28.6965583333,281.7419830496,24,Tokyo PMC88 Part III (CDS I/188 planets)
1986-08-06,1986-08-06T12:35:47,2446649.024859,283.2436541667,-28.6835722222,281.6542356192,25,Tokyo PMC88 Part III (CDS I/188 planets)
1986-08-12,1986-08-12T12:11:04,2446655.007690,282.9589416667,-28.5475555556,281.4164794721,26,Tokyo PMC88 Part III (CDS I/188 planets)
1986-08-16,1986-08-16T11:55:50,2446658.997113,283.0836416667,-28.4046222222,281.5390943494,27,Tokyo PMC88 Part III (CDS I/188 planets)
1986-08-26,1986-08-26T11:21:55,2446668.973560,284.4377208333,-27.8935222222,282.7814626743,28,Tokyo PMC88 Part III (CDS I/188 planets)
1986-08-28,1986-08-28T11:15:48,2446670.969312,284.8753791667,-27.7690166667,283.1806436735,29,Tokyo PMC88 Part III (CDS I/188 planets)
1986-08-29,1986-08-29T11:12:49,2446671.967242,285.1137791667,-27.7020805556,283.3982616787,30,Tokyo PMC88 Part III (CDS I/188 planets)
1986-08-30,1986-08-30T11:09:53,2446672.965207,285.3653583333,-27.6344166667,283.6277964845,31,Tokyo PMC88 Part III (CDS I/188 planets)
1986-09-03,1986-09-03T10:58:40,2446676.957411,286.4938750000,-27.3440750000,284.6583375837,32,Tokyo PMC88 Part III (CDS I/188 planets)
1986-09-26,1986-09-26T10:06:30,2446699.921189,296.0879666667,-25.0280500000,293.5336532969,33,Tokyo PMC88 Part III (CDS I/188 planets)
1986-09-28,1986-09-28T10:02:43,2446701.918564,297.1133791667,-24.7700611111,294.4968169159,34,Tokyo PMC88 Part III (CDS I/188 planets)
1986-10-08,1986-10-08T09:45:05,2446711.906313,302.5449250000,-23.3266055556,299.6531393927,35,Tokyo PMC88 Part III (CDS I/188 planets)
1986-10-13,1986-10-13T09:36:54,2446716.900635,305.4236708333,-22.5076722222,302.4243491119,36,Tokyo PMC88 Part III (CDS I/188 planets)
1986-10-14,1986-10-14T09:35:19,2446717.899527,306.0095458333,-22.3362361111,302.9916999089,37,Tokyo PMC88 Part III (CDS I/188 planets)
1986-10-15,1986-10-15T09:33:44,2446718.898428,306.5984750000,-22.1615361111,303.5633408314,38,Tokyo PMC88 Part III (CDS I/188 planets)
1986-10-16,1986-10-16T09:32:09,2446719.897336,307.1901000000,-21.9852944444,304.1385570180,39,Tokyo PMC88 Part III (CDS I/188 planets)
1986-10-18,1986-10-18T09:29:03,2446721.895175,308.3807625000,-21.6239555556,305.3001758291,40,Tokyo PMC88 Part III (CDS I/188 planets)
1986-10-20,1986-10-20T09:25:58,2446723.893042,309.5822083333,-21.2532361111,306.4770293694,41,Tokyo PMC88 Part III (CDS I/188 planets)
1986-10-31,1986-10-31T09:09:38,2446734.881695,316.3286583333,-19.0337638889,313.1807115951,42,Tokyo PMC88 Part III (CDS I/188 planets)
1986-11-11,1986-11-11T08:53:57,2446745.870800,323.2378791667,-16.5276472222,320.2139188843,43,Tokyo PMC88 Part III (CDS I/188 planets)
1986-11-21,1986-11-21T08:39:55,2446755.861058,329.5774125000,-14.0332333333,326.8125998551,44,Tokyo PMC88 Part III (CDS I/188 planets)
1986-11-22,1986-11-22T08:38:31,2446756.860087,330.2124708333,-13.7734833333,327.4810319795,45,Tokyo PMC88 Part III (CDS I/188 planets)
1986-12-08,1986-12-08T08:16:09,2446772.844557,340.3772750000,-9.4173277778,338.3392845571,46,Tokyo PMC88 Part III (CDS I/188 planets)
1986-12-09,1986-12-09T08:14:45,2446773.843586,341.0120833333,-9.1341694444,339.0263834011,47,Tokyo PMC88 Part III (CDS I/188 planets)
1986-12-15,1986-12-15T08:06:20,2446779.837743,344.8170916667,-7.4143611111,343.1633056449,48,Tokyo PMC88 Part III (CDS I/188 planets)
1986-12-22,1986-12-22T07:56:29,2446786.830902,349.2473750000,-5.3742444444,348.0128196698,49,Tokyo PMC88 Part III (CDS I/188 planets)
1987-01-01,1987-01-01T07:42:23,2446796.821109,355.5687166667,-2.4194861111,354.9732983298,50,Tokyo PMC88 Part III (CDS I/188 planets)
1987-01-17,1987-01-17T07:19:52,2446812.805473,5.6951083333,2.3167277778,6.1453754127,51,Tokyo PMC88 Part III (CDS I/188 planets)
1987-01-22,1987-01-22T07:12:52,2446817.800613,8.8689166667,3.7763666667,9.6334094943,52,Tokyo PMC88 Part III (CDS I/188 planets)
1988-08-23,1988-08-23T17:23:04,2447397.224361,12.5285208333,-0.2987055556,11.4064930050,53,Tokyo PMC88 Part III (CDS I/188 planets)
1988-09-20,1988-09-20T15:17:59,2447425.137489,8.7658500000,-1.5970472222,7.4210039799,54,Tokyo PMC88 Part III (CDS I/188 planets)
1988-10-14,1988-10-14T13:18:06,2447449.054238,2.3687500000,-2.6753555556,1.1084196146,55,Tokyo PMC88 Part III (CDS I/188 planets)
1988-10-15,1988-10-15T13:13:25,2447450.050987,2.1809083333,-2.6720805556,0.9373081394,56,Tokyo PMC88 Part III (CDS I/188 planets)
1988-10-16,1988-10-16T13:08:46,2447451.047766,2.0040500000,-2.6639388889,0.7782324477,57,Tokyo PMC88 Part III (CDS I/188 planets)
1988-10-19,1988-10-19T12:55:08,2447454.038297,1.5426041667,-2.6094833333,0.3764840519,58,Tokyo PMC88 Part III (CDS I/188 planets)
1988-10-29,1988-10-29T12:12:50,2447464.008921,0.7950833333,-2.1093666667,359.8899465458,59,Tokyo PMC88 Part III (CDS I/188 planets)
1988-11-03,1988-11-03T11:53:31,2447468.995505,0.8800541667,-1.6910111111,0.1345286481,60,Tokyo PMC88 Part III (CDS I/188 planets)
1988-11-05,1988-11-05T11:46:07,2447470.990370,0.9979458333,-1.4947000000,0.3208592204,61,Tokyo PMC88 Part III (CDS I/188 planets)
1988-11-21,1988-11-21T10:53:13,2447486.953631,3.5060583333,0.6037611111,3.4571653736,62,Tokyo PMC88 Part III (CDS I/188 planets)
1988-11-25,1988-11-25T10:41:31,2447490.945498,4.5111083333,1.2477722222,4.6352356918,63,Tokyo PMC88 Part III (CDS I/188 planets)
